,author,dish,type,inglst,time_prep,time_cook,tags,ingredients,servings,rating_star,rating_num,meta_description
10,Sally Vargas,Pressure Cooker Lamb Stew with Spring Vegetables,lamb,"['lemon', 'peel', 'shallot', 'leeks', 'parts', 'lengthwise', 'wine', 'chicken', 'turnips', 'ends', 'peas', 'spinach']",10,40,"['dinner', 'pressure cooker', 'lamb']","2 sprigs rosemary,2 sprigs parsley,1 bay leaf,2 wide strips of lemon peel,2 pounds lamb, cut into 1 1/2 to 2 inch pieces,1 teaspoon salt,1/8 teaspoon pepper,2 tablespoons olive oil,1 large shallot, peeled and thinly sliced,2 medium leeks, trimmed tough green parts, halved lengthwise and thinly sliced,2 tablespoons all-purpose flour,1 cup dry white wine,1 cup chicken stock,3 to 4 small turnips (about 12 ounces), trimmed, scrubbed and cut into 4 wedges,1 pound asparagus, tough ends trimmed and cut on the diagonal into 1-inch pieces,2 cups frozen peas,2 handfuls baby spinach",4 to 6 Servings,,,"Leeks, peas, asparagus, turnips, and white wine turn this Pressure Cooker Lamb Stew into a spring event! "
11,Sally Vargas,Shrimp Cobb Salad with Creamy Basil Dressing,seafood,"['mayonnaise', 'yogurt', 'juice', 'honey', 'pepper', 'shell', 'shrimp', 'onion', 'peppercorns', 'heads', 'lettuce', 'crisp', 'pint', 'cherry', 'tomatoes', 'avocados', 'mangoes', 'cucumbers', 'cheese']",30,10,"['dinner', 'cobb salad', 'shrimp']","1/3 cup mayonnaise,1/3 cup plain Greek yogurt,1 tablespoon lemon juice,1/2 teaspoon honey,1/8 teaspoon salt,1/8 teaspoon pepper,1/2 cup packed basil leaves,1/3 cup olive oil,1 pound large (16-20 per pound), shell-on shrimp, thawed,1/2 yellow onion, sliced,2 bay leaves,1 teaspoon salt,1/2 teaspoon peppercorns,2 sprigs parsley,4 slices bacon, cut crosswise into slices,2 small heads baby romaine lettuce, or other crisp lettuce, torn into pieces,1 pint cherry tomatoes, halved,2 small avocados, sliced,2 small yellow mangoes, peeled and diced,2 Persian cucumbers, sliced,8 ounces cotija cheese, crumbled",4 Servings,5,2.0,Looking for a light and refreshing salad? Try this Shrimp Cobb Salad with a little tropical flair from mangoes and the salty bite of cotija cheese. 
12,Nick Evans,Bourbon BBQ Meatloaf,beef,"['onion', 'celery', 'bell', 'beef', 'eggs', 'breadcrumbs', 'bourbon', 'honey']",20,60,"['barbecue', 'meatloaf']","2 tablespoons olive oil,1 medium red or yellow onion, roughly chopped,1 medium carrot, roughly chopped,1 stalk celery, roughly chopped,1/4 red bell pepper, roughly chopped,3 cloves garlic,2 pounds ground beef (90/10 blend),1 tablespoon Worcestershire sauce,2 large eggs,1 cup breadcrumbs,1/4 cup fresh parsley, minced,2 teaspoons salt,1 cup BBQ sauce, , or store-bought (I like Stubb’s),1/4 cup bourbon,1 tablespoon brown sugar,1 tablespoon honey",6 servings ,5,6.0,Here's a new riff on classic meatloaf with bourbon BBQ glaze! The secret to tender meatloaf? Mince your veggies and give them a quick sauté before mixing them into the meatloaf. You'll love it!
13,Summer Miller,Easy Chicken Skillet Enchiladas,chicken,"['chicken', 'onion', 'mild', 'chilis', 'chili', 'taco', 'tortillas', 'radishes', 'avocado', 'jalapeño']",10,20,"['family-friendly', 'enchiladas']","8 ounces cooked chicken (about 2 cups shredded),1 teaspoon oil,1/4 yellow onion, minced (about 1/3 cup),3 cloves garlic,15-ounce can tomato sauce,1/3 cup water,4-ounce can mild green diced chilis,2 teaspoons chili powder,1 teaspoon oregano,1/2 teaspoon cumin,8 taco-sized flour tortillas,8 ounces cotija cheese,Cilantro,Radishes, thinly sliced,Sour cream,Avocado,Jalapeño",Serves 4 (2 enchiladas per person),5,2.0,These chicken skillet enchiladas are easy to make and ready in 30 minutes. They also use only one pan and are great to double and freeze for a meal down the road!
14,Andrea Nguyen,Chicken Curry with Sweet Potato and Lemongrass,chicken,"['stalks', 'onion', 'style', 'curry', 'coconut', 'milk', 'boneless', 'skinless', 'sweet', 'potatoes', 'orange', 'flesh']",15,40,"['1-pot', 'vietnamese', 'curry']","1/2 cup coarsely chopped lemongrass, from 2 medium stalks,2 tablespoons coarsely chopped peeled ginger,1 medium yellow onion, coarsely chopped,2 tablespoons Madras-style curry powder, preferably ,1/2 teaspoon freshly ground black pepper,1/4 teaspoon cayenne pepper, optional,1 (13.5-ounce) can full-fat, unsweetened coconut milk, ,2 tablespoons virgin coconut oil or neutral oil, such as canola,4 large boneless, skinless chicken thighs (about 1 3/4 pounds total), each cut into 3 pieces,1/2 teaspoon fine sea salt,1 1/4 pounds sweet potatoes (white or orange flesh), peeled and cut into 1-inch chunks,3 to 5 fresh cilantro sprigs, coarsely chopped",4 to 6 servings,5,6.0,"Chicken, lemongrass, and sweet potatoes on their own are pretty great, but when simmered in coconut milk and topped with chopped cilantro, they become pure magic in this Vietnamese Curry. "
15,Summer Miller,Creamy Chicken Soup,chicken,"['carrots', 'stalks', 'onion', 'bone', 'chicken', 'egg', 'noodles', 'beans', 'apple', 'cider', 'heavy']",20,45,"['family-friendly', 'soup and stew', 'comfort food', 'chicken soup']","2 tablespoons olive oil,6 large carrots, diced,4 celery stalks, diced,4 cloves garlic, minced,1/2 large onion, diced,1 teaspoon kosher salt,1/4 teaspoon freshly cracked black pepper,2 teaspoons dried thyme,1 bay leaf,8 cups chicken stock, store-bought or ,4 bone-in chicken thighs (about 1 1/2 pounds),8 ounces egg noodles,2 (14-ounce) cans cannellini beans,2 teaspoons apple cider vinegar,1/2 cup heavy cream,2 tablespoons chopped fresh parsley",8 servings,5,2.0,"This easy Creamy Chicken Noodle Soup skips the roux, cuts the cream, and gets a healthy protein and vitamin boost with the help of puréed cannellini beans. All of the flavor and creaminess, with none of the guilt! "
16,Aaron Hutcherson,Spicy Fried Chicken,chicken,"['buttermilk', 'cayenne', 'bone', 'skin', 'chicken', 'parts', 'flour', 'peanut']",10,30,"['dinner', 'deep fried', 'chicken', 'fried chicken']","2 cups buttermilk,1/2 cup hot sauce,1 teaspoon kosher salt,1 teaspoon ground black pepper,1 teaspoon cayenne pepper,1 teaspoon garlic powder,3 1/2 pounds bone-in, skin-on chicken parts,2 cups all-purpose flour,1 tablespoon ground black pepper,1 tablespoon cayenne pepper,2 teaspoons kosher salt,1 teaspoon garlic powder,Canola, vegetable, or peanut oil",4 servings,5,2.0,Ready for some seriously spicy fried chicken? Hot sauce in the buttermilk marinade and cayenne in the breading means you're headed toward seriously spicy bliss. 
17,Sally Vargas,"Skillet Chicken Thighs with Potatoes, Carrots, and Greens",chicken,"['bone', 'skin', 'chicken', 'yukon', 'gold', 'potatoes', 'carrots', 'break', 'chard', 'chicken', 'lemon', 'juice', 'lemon']",15,45,"['budget', 'skillet recipe', 'chicken thigh', 'potatoes']","8 (3 pounds) bone-in, skin-on, chicken thighs,1/2 teaspoon salt,1/8 teaspoon pepper,2 tablespoons olive oil,1 1/2 pounds (about 4 medium) Yukon Gold potatoes, cut into 1-inch chunks,12 ounces baby carrots,3 whole, unpeeled cloves garlic, smashed with the flat of a knife to break the skin,1 bunch Swiss chard,1 1/2 cups chicken stock,1 tablespoon Dijon mustard,Finely grated zest of 1 lemon,1/2 teaspoon dried thyme,Juice of 1/2 lemon,1/4 cup chopped parsley",4-6 servings,5,3.0,"Crispy skillet chicken is cooked in a flavorful lemon broth and served on a bed of Swiss chard, potatoes, and carrots. This bistro-style oven braised chicken with vegetables has everything you love about cozy comfort food. "
18,Marta Rivera,Chicken Cordon Bleu,chicken,"['flour', 'breadcrumbs', 'eggs', 'skinless', 'chicken', 'breasts', 'prosciutto', 'ham', 'cheese', 'sticks', 'lemon']",45,30,"['dinner', 'holiday', 'comfort food', 'chicken']","1 1/2 teaspoons kosher salt,1/2 teaspoon granulated garlic powder,1/4 teaspoon ground black pepper,3/4 cup all-purpose flour,1 1/2 cups panko or regular breadcrumbs,1 tablespoon chopped fresh parsley,2 large eggs, beaten,4 boneless, skinless chicken breasts (2 1/2 pounds), trimmed of excess fat,1 1/2 tablespoons Dijon mustard,8 slices (about 4 ounces) prosciutto or sliced ham,4 ounces Gruyere or Swiss cheese, cut into 1/2-inch thick sticks,3 cups vegetable oil, for frying,1 lemon, sliced into wedges",4 servings,,,"Impress your friends and family with Chicken Cordon Bleu! Thin chicken breast is topped with prosciutto and Swiss cheese, then rolled, breaded, pan-fried, and baked to crispy golden perfection. Dinner never tasted so good!"
19,Nick Evans,Chicken Freezer Burritos,chicken,"['grain', 'rice', 'lime', 'juice', 'peppers', 'onion', 'beans', 'chili', 'salsa', 'verde', 'colby', 'jack', 'burrito', 'tortillas', 'tortillas', 'jalapeños']",20,20,"['eat your food', 'family-friendly', 'freezer-friendly', 'make-ahead']","1 1/2 cups long grain white rice,1 lime, juice only,1/4 cup chopped cilantro,2 red or green peppers, sliced,1 yellow onion, sliced,2 tablespoons olive oil, divided,2 cups ,, shredded,2 (15-ounce) cans black beans, drained and rinsed,1/2 teaspoon salt,1 teaspoon chili powder,1 teaspoon ground cumin,1 cup salsa verde, store-bought or ,16 ounces grated colby jack cheese,8 large 12-inch burrito-sized flour tortillas OR 32 small 8-inch flour tortillas,2 ripe avocados,1/4 cup pickled jalapeños, chopped,2 tablespoons minced cilantro,Pinch of salt",Makes 8 large burritos or 32 small burritos,5,3.0,"Chicken Freezer Burritos are your answer to a quick, family-friendly weeknight meal! They're easy to make and delicious (when reheated correctly!). Here's everything you need to know about how to make freezer burritos you'll actually want to eat!"
20,Nick Evans,Grilled Chicken Under a Brick,chicken,"['chicken', 'zest']",15,25,"['dinner', 'grill', 'grilled chicken']","1 3-pound whole chicken,2 cloves garlic, minced,1 tablespoon fresh rosemary,1 tablespoon fresh thyme,1 lemon, zest only,1 teaspoon kosher salt,1 teaspoon ground black pepper,1/4 cup extra virgin olive oil",Serves 4,,,"Want to know the secret to crispy chicken skin? Grilled Chicken Under a Brick! No actual brick required, just something heavy. Get ready for weeknight chicken dinner perfection!"
21,Summer Miller,Chinese 5-Spice Skillet Chicken with Green Beans and Peppers,chicken,"['boneless', 'skinless', 'chicken', 'tenders', 'chicken', 'breasts', 'corns', 'spice', 'blend', 'orange', 'orange', 'juice', 'beans', 'orange', 'bell', 'onion', 'cracks', 'orange', 'optional']",17,32,"['freezer-friendly', 'low carb', 'chicken']","1 1/2 pounds boneless, skinless chicken tenders, tenderloin, or thinly sliced chicken breasts,1 teaspoon fennel seeds,1 teaspoon whole black peppercorns,1 bay leaf,1 teaspoon kosher salt,1/2 tablespoon brown sugar, packed,1 teaspoon Chinese 5-spice blend,Zest from 1 orange,3 tablespoons orange juice,2 teaspoons sesame oil,1 pound fresh green beans, washed and trimmed,1 large orange bell pepper,1/2 large onion,2 teaspoons soy sauce,3 or 4 cracks of freshly ground pepper,Orange zest for garnish (optional)",4 to 6,5,2.0,"Need dinner in a hurry? Chinese 5-Spice Skillet Dinner to the rescue! Lean protein, loads of colorful vegetables, and on the table in about 30 minutes!"
22,Nick Evans,Apple Cider Chicken Thighs with Sweet Potatoes,chicken,"['bone', 'skin', 'chicken', 'potatoes', 'onion', 'apple', 'cider', 'chicken']",10,50,"['eat your food', 'family-friendly', '1-pot', 'chicken']","4 or 5 bone-in skin-on chicken thighs (about 2 pounds),2 medium sweet potatoes, diced (about 2 cups diced),1/2 white onion, sliced thin,1/2 teaspoon kosher salt,1/2 teaspoon black pepper,1 cup apple cider,1/2 cup chicken stock,1 tablespoon fresh rosemary, or orzo for serving (optional)",Serves 4,5,1.0,"Want a perfect fall weeknight meal? These Apple Cider Chicken Thighs are it. Simmered in the oven with sweet potatoes and onions, it's a one-pot skillet dinner that'll fill you up without stressing you out."
23,Sally Vargas,"Tamale Pie with Chicken, Green Chiles, and Cheese",chicken,"['scallions', 'chiles', 'spray', 'skillet', 'corn', 'kernels', 'jack', 'cheese', 'chicken', 'salsa']",25,50,"['casserole', 'mexican and tex mex', 'rotisserie chicken']","3 cups ,2 3/4 cups hot water,4 tablespoons (2 oz) unsalted butter, at room temperature, cut into thick slices,1 cup (about 7 ounces) cold vegetable shortening,1 1/2 teaspoons salt,2 teaspoons baking powder,1 tablespoon olive oil,1 bunch scallions, thinly sliced,2 (4-ounce) cans of chopped green chiles, mild or hot,Vegetable oil spray (for the skillet),1 cup fresh or frozen corn kernels,1/2 cup sliced cilantro leaves,2 cups grated Monterey jack cheese,2 cups shredded, cooked chicken,1 cup green salsa, , or store-bought (for serving)",6 servings,5,1.0,"Enjoy the flavors of tamales without all of the work. Rather than individual tamales wrapped in corn husks, we made a pie! Use rotisserie chicken and canned green chiles to make the recipe even easier."
24,Sally Vargas,Tex-Mex Shepherd’s Pie,chicken,"['gold', 'potatoes', 'milk', 'cheddar', 'onion', 'beans', 'corn', 'salsa']",25,30,"['family-friendly', 'freezer-friendly', 'make-ahead', 'texmex']","2 1/2 pounds (5 to 6 medium) Yukon Gold potatoes,1 tablespoon salt, divided,4 tablespoons unsalted butter, cut into slices,1/2 cup milk, or more as needed,1 1/2 cups grated sharp cheddar cheese,1/8 teaspoon pepper,2 tablespoons olive oil,1 medium onion, finely chopped,1 large garlic clove, finely chopped,1 teaspoon dried oregano,1/2 teaspoon ground cumin,1 (15-ounce) can black beans, rinsed and drained,1 cup frozen corn,2 cups shredded, cooked chicken,2 cups of your favorite salsa",6 to 8,5,2.0,"Get your forks ready and dig into this Tex Mex take on the comfort food classic Shepherd’s Pie. It’s spicy, cheesy and loaded with chicken, beans, and corn, then topped with creamy mashed potatoes. You’re looking at pure weeknight dinner deliciousness."
25,Irvin Lin,Feta-Brined Roast Chicken,chicken,"['feta', 'chicken', 'mediterranean', 'style', 'lemons', 'baby', 'greens']",15,50,"['feta', 'roast chicken']","2 ounces feta cheese,2 teaspoons kosher salt,4 cups water,3 1/2 to 4 pounds whole chicken,1 tablespoon dried parsley,1 1/2 teaspoons kosher salt,1/2 teaspoon fresh ground black pepper,1 1/2 teaspoon dried oregano, Greek or Mediterranean-style preferred,2 large lemons,2 tablespoon olive oil,4 tablespoons olive oil,2 ounces feta cheese, crumbled,5 ounces mixed baby greens",Serves 4,5,5.0,"If you've never had Feta-Brined Roast Chicken before, you are in for the surprise of your life, because it's THAT GOOD. All other chicken roasting methods should bow before it. "
26,Carrie Havranek,Toni Tipton-Martin’s Classic Jambalaya,chicken,"['grain', 'rice', 'pork', 'onions', 'onions', 'sausage', 'andouille', 'coins', 'dice', 'tomatoes', 'dice', 'shrimp', 'cayenne', 'pepper']",15,45,"['cookbooks', '1-pot', 'creole', 'jambalaya']","2 cups long-grain rice,1/2 cup finely diced salt pork,1 1/2 cups chopped onions,1 cup chopped green bell pepper,3 garlic cloves, minced,1/2 cup chopped green onions, white part only,1 pound smoked sausage (andouille), cut into 1/2-inch thick coins,1/2 cup ham, 1/2-inch dice,2 cups diced tomatoes,4 cups chicken stock,1 1/2 cups cooked chicken, 1/2-inch dice,1 tablespoon dried thyme,2 bay leaves,1/2 teaspoon paprika,1/4 teaspoon black pepper,1 teaspoon salt, plus more to taste,1/2 pound small shrimp, peeled and deveined,Cayenne pepper,2 tablespoons minced fresh parsley",6 to 8 servings,,,"Here's a classic Southern jambalaya recipe based on historical versions of the recipe. It comes from Toni Tipton-Martin's cookbook Jubilee, which celebrates 200 years of African American cooking!"
27,Irvin Lin,Sweet Tea Fried Chicken,chicken,"['bags', 'chicken', 'legs', 'skin', 'chicken', 'bone', 'buttermilk', 'cornmeal', 'cornstarch', 'onion', 'cayenne', 'corn', 'avocado', 'peanut', 'flaky']",45,45,"['deep fried', 'southern', 'fried chicken', 'tea']","6 cups water,8 bags black tea,1 cup (200 g) white sugar,1/4 cup (75 g) kosher salt,5 chicken legs, skin on,5 chicken thighs, bone-in and skin on,2 cups buttermilk,1 tablespoon hot sauce, optional but recommended,3 cups (420 g) all-purpose flour,1 cup (160 g) cornmeal,2 tablespoons cornstarch,1 1/2 teaspoons garlic powder,1 1/2 teaspoons onion powder,1 teaspoon black pepper,1 teaspoon kosher salt,1/2 teaspoon cayenne pepper,1/2 teaspoon paprika,3 cups vegetable oil (corn, avocado, or peanut),Flaky sea salt, such as ",10 pieces,,,"Did we say sweet tea? And fried chicken? Yes, we did! Two traditional foods of the South come together here: The sweet tea works as a brine to make this fried chicken extra juicy and extra flavorful."
28,Aaron Hutcherson,Buffalo Chicken Chili,chicken,"['boneless', 'skinless', 'chicken', 'breasts', 'fire', 'tomatoes', 'fire', 'chiles', 'chicken', 'buffalo', 'cannellini', 'beans', 'sour', 'cheese', 'onion', 'tortilla', 'chips']",10,30,"['soup', 'game day', 'chili']","2 boneless, skinless chicken breasts (1 1/2 pounds),2 14.5-ounce cans diced fire-roasted tomatoes,1 7-ounce can diced fire-roasted green chiles,1 cup unsalted or low-sodium chicken stock,3/4 cup buffalo wing sauce, plus more for serving,1 tablespoon chili powder,2 teaspoons ground cumin,2 15.5-ounce cans cannellini beans, drained and rinsed,Salt and ground black pepper,Sour cream, crumbled blue cheese, diced green onion, and tortilla chips, for serving",6 to 8 (makes about 8 cups),5,1.0,"This Buffalo Chicken Chili is the best of two game day classics: buffalo chicken wings and chili! Top your bowl with sour cream, tortilla chips, chopped green onions, cheese, and extra buffalo sauce for a new Super Bowl favorite. (Slow cooker and Instant Pot directions, too!)"
